size,dropout,accuracy
32,0.1,0.972549019607843
32,0.2,0.9672905525846701
32,0.3,0.960071301247772
32,0.4,0.949554367201426
64,0.1,0.9844919786096256
64,0.2,0.982174688057041
64,0.3,0.9766488413547239
64,0.4,0.9710338680926915
128,0.1,0.9888591800356507
128,0.2,0.9883244206773618
128,0.3,0.9881461675579322
128,0.4,0.9842245989304812
512,0.1,0.9890374331550802
512,0.2,0.9894830659536542
512,0.3,0.9893048128342248
512,0.4,0.9906417112299465
