size,learning_rate,accuracy
32,0.0001,0.8819964349376115
32,0.001,0.9674688057041001
32,0.01,0.9823529411764707
32,0.1,0.8270944741532977
64,0.0001,0.9115864527629233
64,0.001,0.9818181818181818
64,0.01,0.9823529411764704
64,0.1,0.841354723707665
128,0.0001,0.931818181818182
128,0.001,0.9901960784313728
128,0.01,0.9810160427807487
128,0.1,0.8337789661319072
512,0.0001,0.9563279857397505
512,0.001,0.987878787878788
512,0.01,0.9780748663101605
512,0.1,0.8676470588235293
