optimizer,accuracy,std_accuracy
adam,0.988680926916221,0.003956857910948869
sgd,0.8442513368983956,0.010414372715852613
rprop,0.7448752228163993,0.023049815343575815
hybrid,0.9882798573975045,0.0037999179548508575
